"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"47",47,"Boston Celtics",47,"Sat Jan 28 2017","@","Milwaukee Bucks","W","OT",112,108,29,18,"W 3",2017-01-28,1
"48",48,"Boston Celtics",48,"Mon Jan 30 2017","vs","Detroit Pistons","W",NA,113,109,30,18,"W 4",2017-01-29,1
"49",49,"Boston Celtics",49,"Wed Feb 1 2017","vs","Toronto Raptors","W",NA,109,104,31,18,"W 5",2017-02-01,1
"50",50,"Boston Celtics",50,"Fri Feb 3 2017","vs","Los Angeles Lakers","W",NA,113,107,32,18,"W 6",2017-02-02,1
"51",51,"Boston Celtics",51,"Sun Feb 5 2017","vs","Los Angeles Clippers","W",NA,107,102,33,18,"W 7",2017-02-04,1
"52",52,"Boston Celtics",52,"Wed Feb 8 2017","@","Sacramento Kings","L",NA,92,108,33,19,"L 1",2017-02-08,0
"53",53,"Boston Celtics",53,"Thu Feb 9 2017","@","Portland Trail Blazers","W",NA,120,111,34,19,"W 1",2017-02-10,1
"54",54,"Boston Celtics",54,"Sat Feb 11 2017","@","Utah Jazz","W",NA,112,104,35,19,"W 2",2017-02-11,1
"55",55,"Boston Celtics",55,"Mon Feb 13 2017","@","Dallas Mavericks","W",NA,111,98,36,19,"W 3",2017-02-13,1
"56",56,"Boston Celtics",56,"Wed Feb 15 2017","vs","Philadelphia 76ers","W",NA,116,108,37,19,"W 4",2017-02-15,1
"57",57,"Boston Celtics",57,"Thu Feb 16 2017","@","Chicago Bulls","L",NA,103,104,37,20,"L 1",2017-02-23,0
"58",58,"Boston Celtics",58,"Fri Feb 24 2017","@","Toronto Raptors","L",NA,97,107,37,21,"L 2",2017-02-25,0
"59",59,"Boston Celtics",59,"Sun Feb 26 2017","@","Detroit Pistons","W",NA,104,98,38,21,"W 1",2017-02-27,1
"60",60,"Boston Celtics",60,"Mon Feb 27 2017","vs","Atlanta Hawks","L",NA,98,114,38,22,"L 1",2017-02-28,0
"61",61,"Boston Celtics",61,"Wed Mar 1 2017","vs","Cleveland Cavaliers","W",NA,103,99,39,22,"W 1",2017-03-02,1
"62",62,"Boston Celtics",62,"Fri Mar 3 2017","@","Los Angeles Lakers","W",NA,115,95,40,22,"W 2",2017-03-05,1
"63",63,"Boston Celtics",63,"Sun Mar 5 2017","@","Phoenix Suns","L",NA,106,109,40,23,"L 1",2017-03-06,0
"64",64,"Boston Celtics",64,"Mon Mar 6 2017","@","Los Angeles Clippers","L",NA,102,116,40,24,"L 2",2017-03-08,0
"65",65,"Boston Celtics",65,"Wed Mar 8 2017","@","Golden State Warriors","W",NA,99,86,41,24,"W 1",2017-03-10,1
"66",66,"Boston Celtics",66,"Fri Mar 10 2017","@","Denver Nuggets","L",NA,99,119,41,25,"L 1",2017-03-11,0
"67",67,"Boston Celtics",67,"Sun Mar 12 2017","vs","Chicago Bulls","W",NA,100,80,42,25,"W 1",2017-03-14,1
"68",68,"Boston Celtics",68,"Wed Mar 15 2017","vs","Minnesota Timberwolves","W",NA,117,104,43,25,"W 2",2017-03-16,1
"69",69,"Boston Celtics",69,"Fri Mar 17 2017","@","Brooklyn Nets","W",NA,98,95,44,25,"W 3",2017-03-18,1
"70",70,"Boston Celtics",70,"Sun Mar 19 2017","@","Philadelphia 76ers","L",NA,99,105,44,26,"L 1",2017-03-20,0
"71",71,"Boston Celtics",71,"Mon Mar 20 2017","vs","Washington Wizards","W",NA,110,102,45,26,"W 1",2017-03-21,1
"72",72,"Boston Celtics",72,"Wed Mar 22 2017","vs","Indiana Pacers","W",NA,109,100,46,26,"W 2",2017-03-24,1
"73",73,"Boston Celtics",73,"Fri Mar 24 2017","vs","Phoenix Suns","W",NA,130,120,47,26,"W 3",2017-03-26,1
"74",74,"Boston Celtics",74,"Sun Mar 26 2017","vs","Miami Heat","W",NA,112,108,48,26,"W 4",2017-03-28,1
"75",75,"Boston Celtics",75,"Wed Mar 29 2017","vs","Milwaukee Bucks","L",NA,100,103,48,27,"L 1",2017-03-29,0
"76",76,"Boston Celtics",76,"Fri Mar 31 2017","vs","Orlando Magic","W",NA,117,116,49,27,"W 1",2017-03-31,1
"77",77,"Boston Celtics",77,"Sun Apr 2 2017","@","New York Knicks","W",NA,110,94,50,27,"W 2",2017-04-02,1
"78",78,"Boston Celtics",78,"Wed Apr 5 2017","vs","Cleveland Cavaliers","L",NA,91,114,50,28,"L 1",2017-04-04,0
"79",79,"Boston Celtics",79,"Thu Apr 6 2017","@","Atlanta Hawks","L",NA,116,123,50,29,"L 2",2017-04-05,0
"80",80,"Boston Celtics",80,"Sat Apr 8 2017","@","Charlotte Hornets","W",NA,121,114,51,29,"W 1",2017-04-08,1
"81",81,"Boston Celtics",81,"Mon Apr 10 2017","vs","Brooklyn Nets","W",NA,114,105,52,29,"W 2",2017-04-10,1
"82",82,"Boston Celtics",82,"Wed Apr 12 2017","vs","Milwaukee Bucks","W",NA,112,94,53,29,"W 3",2017-04-12,1
"83",83,"Cleveland Cavaliers",1,"Tue Oct 25 2016","vs","New York Knicks","W",NA,117,88,1,0,"W 1",2016-10-25,1
"84",84,"Cleveland Cavaliers",2,"Fri Oct 28 2016","@","Toronto Raptors","W",NA,94,91,2,0,"W 2",2016-10-27,1
"85",85,"Cleveland Cavaliers",3,"Sat Oct 29 2016","vs","Orlando Magic","W",NA,105,99,3,0,"W 3",2016-10-29,1
