"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"46",91,"San Antonio Spurs",9,"Fri Nov 11 2016","vs","Detroit Pistons","W",NA,96,86,6,3,"W 1",2016-11-11,1
"47",93,"San Antonio Spurs",11,"Mon Nov 14 2016","vs","Miami Heat","W",NA,94,90,8,3,"W 3",2016-11-14,1
"48",96,"San Antonio Spurs",14,"Mon Nov 21 2016","vs","Dallas Mavericks","W",NA,96,91,11,3,"W 6",2016-11-21,1
"49",100,"San Antonio Spurs",18,"Tue Nov 29 2016","vs","Orlando Magic","L",NA,83,95,14,4,"L 1",2016-11-29,0
"50",102,"San Antonio Spurs",20,"Fri Dec 2 2016","vs","Washington Wizards","W",NA,107,105,16,4,"W 2",2016-12-02,1
"51",106,"San Antonio Spurs",24,"Sat Dec 10 2016","vs","Brooklyn Nets","W",NA,130,101,19,5,"W 1",2016-12-10,1
"52",107,"San Antonio Spurs",25,"Wed Dec 14 2016","vs","Boston Celtics","W",NA,108,101,20,5,"W 2",2016-12-14,1
"53",109,"San Antonio Spurs",27,"Sun Dec 18 2016","vs","New Orleans Pelicans","W",NA,113,100,22,5,"W 4",2016-12-18,1
"54",113,"San Antonio Spurs",31,"Sun Dec 25 2016","vs","Chicago Bulls","W",NA,119,100,25,6,"W 2",2016-12-25,1
"55",114,"San Antonio Spurs",32,"Wed Dec 28 2016","vs","Phoenix Suns","W",NA,119,98,26,6,"W 3",2016-12-28,1
"56",115,"San Antonio Spurs",33,"Fri Dec 30 2016","vs","Portland Trail Blazers","W",NA,110,94,27,6,"W 4",2016-12-30,1
"57",117,"San Antonio Spurs",35,"Tue Jan 3 2017","vs","Toronto Raptors","W",NA,110,82,28,7,"W 1",2017-01-03,1
"58",119,"San Antonio Spurs",37,"Sat Jan 7 2017","vs","Charlotte Hornets","W",NA,102,85,30,7,"W 3",2017-01-07,1
"59",120,"San Antonio Spurs",38,"Tue Jan 10 2017","vs","Milwaukee Bucks","L",NA,107,109,30,8,"L 1",2017-01-10,0
"60",121,"San Antonio Spurs",39,"Thu Jan 12 2017","vs","Los Angeles Lakers","W",NA,134,94,31,8,"W 1",2017-01-12,1
"61",123,"San Antonio Spurs",41,"Tue Jan 17 2017","vs","Minnesota Timberwolves","W",NA,122,114,32,9,"W 1",2017-01-17,1
"62",124,"San Antonio Spurs",42,"Thu Jan 19 2017","vs","Denver Nuggets","W",NA,118,104,33,9,"W 2",2017-01-19,1
"63",129,"San Antonio Spurs",47,"Sun Jan 29 2017","vs","Dallas Mavericks","L",NA,101,105,36,11,"L 2",2017-01-29,0
"64",130,"San Antonio Spurs",48,"Tue Jan 31 2017","vs","Oklahoma City Thunder","W",NA,108,94,37,11,"W 1",2017-01-31,1
"65",131,"San Antonio Spurs",49,"Thu Feb 2 2017","vs","Philadelphia 76ers","W",NA,102,86,38,11,"W 2",2017-02-02,1
