"","Name","G","Date","Age","Tm","X5","Opp","X7","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"32","DeMar DeRozan",32,2016-12-29,"27-144","TOR","@","PHO","L (-8)","1","34:58","8","18",".444","0","3",".000","8","10",".800","0","3","3","2","0","0","2","2","24","13.3","-10"
"33","DeMar DeRozan",33,2017-01-01,"27-147","TOR","@","LAL","W (+9)","1","35:18","10","25",".400","0","0",NA,"11","13",".846","0","1","1","3","1","1","1","3","31","18.6","-9"
"34","DeMar DeRozan",34,2017-01-03,"27-149","TOR","@","SAS","L (-28)","1","31:48","12","21",".571","0","0",NA,"2","3",".667","1","3","4","2","0","0","3","2","26","14.9","-30"
"35","DeMar DeRozan",35,2017-01-05,"27-151","TOR",NA,"UTA","W (+8)","1","36:33","8","26",".308","0","1",".000","7","10",".700","2","5","7","2","2","1","1","2","23","12.0","+8"
"36","DeMar DeRozan",36,2017-01-07,"27-153","TOR","@","CHI","L (-5)","1","42:56","10","23",".435","0","1",".000","16","17",".941","1","7","8","2","2","1","2","3","36","27.2","-4"
"37","DeMar DeRozan",37,2017-01-08,"27-154","TOR",NA,"HOU","L (-7)","1","39:22","13","21",".619","0","0",NA,"10","10","1.000","0","6","6","5","0","1","6","4","36","24.9","+8"
"38","DeMar DeRozan",38,2017-01-10,"27-156","TOR",NA,"BOS","W (+8)","1","37:54","16","29",".552","1","2",".500","8","9",".889","2","11","13","0","2","0","1","1","41","32.0","+19"
"39","DeMar DeRozan",39,2017-01-13,"27-159","TOR",NA,"BRK","W (+19)","1","29:36","11","22",".500","0","1",".000","6","8",".750","2","2","4","2","0","0","0","1","28","19.2","+1"
"40","DeMar DeRozan",40,2017-01-15,"27-161","TOR",NA,"NYK","W (+15)","1","28:19","8","17",".471","0","0",NA,"7","7","1.000","0","5","5","5","0","0","2","2","23","16.5","+24"
"41","DeMar DeRozan",41,2017-01-17,"27-163","TOR","@","BRK","W (+10)","1","36:59","13","28",".464","0","0",NA,"10","10","1.000","2","9","11","6","1","0","3","2","36","27.1","+3"
"42","DeMar DeRozan",42,2017-01-18,"27-164","TOR","@","PHI","L (-5)","1","38:02","11","21",".524","0","0",NA,"3","4",".750","1","2","3","6","1","0","2","1","25","18.4","-6"
"43","DeMar DeRozan",43,2017-01-20,"27-166","TOR","@","CHO","L (-35)","1","30:33","8","17",".471","2","3",".667","5","6",".833","0","3","3","2","0","0","4","0","23","12.2","-29"
"44","DeMar DeRozan",44,2017-01-22,"27-168","TOR",NA,"PHO","L (-12)","1","36:50","6","17",".353","0","1",".000","10","11",".909","1","2","3","4","1","1","2","2","22","15.1","-9"
"45","DeMar DeRozan",45,2017-01-29,"27-175","TOR",NA,"ORL","L (-1)","1","36:15","6","18",".333","0","1",".000","10","11",".909","1","6","7","6","0","0","1","3","22","15.9","+4"
"46","DeMar DeRozan",46,2017-02-06,"27-183","TOR",NA,"LAC","W (+9)","1","38:17","11","22",".500","2","3",".667","7","9",".778","2","3","5","2","1","0","0","1","31","23.5","+1"
"47","DeMar DeRozan",47,2017-02-08,"27-185","TOR","@","MIN","L (-3)","1","37:32","12","25",".480","1","4",".250","5","7",".714","1","3","4","2","1","0","2","3","30","17.3","-2"
"48","DeMar DeRozan",48,2017-02-12,"27-189","TOR",NA,"DET","L (-1)","1","37:39","10","21",".476","0","1",".000","6","7",".857","1","6","7","2","0","1","2","1","26","17.1","+6"
"49","DeMar DeRozan",49,2017-02-14,"27-191","TOR","@","CHI","L (-11)","1","37:46","5","19",".263","0","1",".000","8","9",".889","1","4","5","3","1","0","3","5","18","6.3","-14"
"50","DeMar DeRozan",50,2017-02-15,"27-192","TOR",NA,"CHO","W (+5)","1","31:00","5","19",".263","0","3",".000","0","2",".000","0","3","3","2","0","0","3","0","10","-2.8","-15"
"51","DeMar DeRozan",51,2017-02-24,"27-201","TOR",NA,"BOS","W (+10)","1","37:08","15","28",".536","1","3",".333","12","12","1.000","0","5","5","5","0","0","3","2","43","30.6","+15"
"52","DeMar DeRozan",52,2017-02-26,"27-203","TOR",NA,"POR","W (+6)","1","36:22","9","16",".563","0","2",".000","15","16",".938","0","6","6","2","2","1","4","2","33","26.1","+9"
"53","DeMar DeRozan",53,2017-02-27,"27-204","TOR","@","NYK","W (+1)","1","37:24","13","25",".520","1","3",".333","10","13",".769","3","5","8","2","2","0","2","1","37","28.1","-1"
"54","DeMar DeRozan",54,2017-03-01,"27-206","TOR",NA,"WAS","L (-9)","1","33:41","7","20",".350","0","0",NA,"10","11",".909","0","3","3","2","1","0","2","3","24","12.5","-4"
"55","DeMar DeRozan",55,2017-03-03,"27-208","TOR","@","WAS","W (+8)","1","37:55","10","17",".588","3","3","1.000","9","12",".750","2","11","13","5","0","0","4","2","32","26.3","-5"
"56","DeMar DeRozan",56,2017-03-04,"27-209","TOR","@","MIL","L (-7)","1","31:18","5","13",".385","0","1",".000","1","1","1.000","0","3","3","4","0","0","3","3","11","3.4","+3"
"57","DeMar DeRozan",57,2017-03-08,"27-213","TOR","@","NOP","W (+7)","1","37:38","5","15",".333","0","1",".000","4","6",".667","1","1","2","6","3","0","0","0","14","12.9","+9"
"58","DeMar DeRozan",58,2017-03-10,"27-215","TOR","@","ATL","L (-6)","1","36:33","12","30",".400","1","8",".125","3","4",".750","1","7","8","6","2","0","3","5","28","15.4","-4"
"59","DeMar DeRozan",59,2017-03-11,"27-216","TOR","@","MIA","L (-15)","1","28:26","5","16",".313","0","2",".000","7","7","1.000","1","3","4","2","1","0","2","0","17","9.8","-12"
"60","DeMar DeRozan",60,2017-03-13,"27-218","TOR",NA,"DAL","W (+22)","1","32:29","10","17",".588","1","2",".500","4","4","1.000","1","5","6","2","2","0","2","0","25","20.7","+18"
"61","DeMar DeRozan",61,2017-03-16,"27-221","TOR",NA,"OKC","L (-21)","1","28:49","8","14",".571","0","1",".000","6","7",".857","0","3","3","3","0","0","3","1","22","14.6","-25"
"62","DeMar DeRozan",62,2017-03-17,"27-222","TOR","@","DET","W (+12)","1","36:04","3","9",".333","0","1",".000","8","8","1.000","0","8","8","6","0","0","2","1","14","13.1","+15"
"63","DeMar DeRozan",63,2017-03-19,"27-224","TOR",NA,"IND","W (+25)","1","29:12","9","19",".474","1","2",".500","3","4",".750","0","3","3","4","0","0","4","1","22","11.2","+11"
"64","DeMar DeRozan",64,2017-03-21,"27-226","TOR",NA,"CHI","W (+2)","1","43:29","17","38",".447","1","5",".200","7","11",".636","4","3","7","8","2","1","2","1","42","30.2","+6"
"65","DeMar DeRozan",65,2017-03-23,"27-228","TOR","@","MIA","W (+17)","1","36:05","14","25",".560","0","2",".000","12","13",".923","1","5","6","3","1","0","1","0","40","32.0","+3"
"66","DeMar DeRozan",66,2017-03-25,"27-230","TOR","@","DAL","W (+8)","1","36:33","8","17",".471","1","2",".500","1","2",".500","0","3","3","6","1","1","3","3","18","11.5","+3"
"67","DeMar DeRozan",67,2017-03-27,"27-232","TOR",NA,"ORL","W (+19)","1","36:25","13","21",".619","1","1","1.000","9","14",".643","0","2","2","3","0","0","2","3","36","24.0","+9"
"68","DeMar DeRozan",68,2017-03-29,"27-234","TOR",NA,"CHO","L (-4)","1","38:37","11","24",".458","0","2",".000","6","7",".857","1","5","6","8","0","0","2","1","28","20.6","+8"
"69","DeMar DeRozan",69,2017-03-31,"27-236","TOR",NA,"IND","W (+11)","1","37:56","11","26",".423","3","4",".750","15","20",".750","2","7","9","4","1","0","3","1","40","28.1","+14"
"70","DeMar DeRozan",70,2017-04-02,"27-238","TOR",NA,"PHI","W (+8)","1","31:05","6","11",".545","0","0",NA,"5","5","1.000","1","0","1","9","0","0","3","1","17","15.3","+7"
"71","DeMar DeRozan",71,2017-04-04,"27-240","TOR","@","IND","L (-18)","1","40:19","9","21",".429","0","2",".000","9","10",".900","1","2","3","2","3","0","2","3","27","18.0","-21"
"72","DeMar DeRozan",72,2017-04-05,"27-241","TOR","@","DET","W (+3)","1","34:22","5","17",".294","0","1",".000","2","3",".667","1","3","4","10","0","0","3","2","12","6.5","-2"
"73","DeMar DeRozan",73,2017-04-07,"27-243","TOR",NA,"MIA","W (+2)","1","37:49","14","32",".438","0","1",".000","10","11",".909","1","5","6","2","1","1","6","1","38","19.7","0"
"74","DeMar DeRozan",74,2017-04-09,"27-245","TOR","@","NYK","W (+13)","1","29:21","11","15",".733","0","0",NA,"13","15",".867","0","2","2","0","0","0","2","2","35","25.9","+8"
