G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
50,Mon Feb 6 2017,@,Washington Wizards,W,OT,140,135,35,15,W 3,
51,Wed Feb 8 2017,@,Indiana Pacers,W,,132,117,36,15,W 4,
52,Thu Feb 9 2017,@,Oklahoma City Thunder,L,,109,118,36,16,L 1,
53,Sat Feb 11 2017,,Denver Nuggets,W,,125,109,37,16,W 1,
54,Tue Feb 14 2017,@,Minnesota Timberwolves,W,,116,108,38,16,W 2,
55,Wed Feb 15 2017,,Indiana Pacers,W,,113,104,39,16,W 3,
56,Thu Feb 23 2017,,New York Knicks,W,,119,104,40,16,W 4,
57,Sat Feb 25 2017,,Chicago Bulls,L,,99,117,40,17,L 1,
58,Mon Feb 27 2017,,Milwaukee Bucks,W,,102,95,41,17,W 1,
59,Wed Mar 1 2017,@,Boston Celtics,L,,99,103,41,18,L 1,
60,Fri Mar 3 2017,@,Atlanta Hawks,W,,135,130,42,18,W 1,
61,Sat Mar 4 2017,@,Miami Heat,L,,92,120,42,19,L 1,
62,Mon Mar 6 2017,,Miami Heat,L,,98,106,42,20,L 2,
63,Thu Mar 9 2017,@,Detroit Pistons,L,,101,106,42,21,L 3,
64,Sat Mar 11 2017,@,Orlando Magic,W,,116,104,43,21,W 1,
65,Sun Mar 12 2017,@,Houston Rockets,L,,112,117,43,22,L 1,
66,Tue Mar 14 2017,,Detroit Pistons,W,,128,96,44,22,W 1,
67,Thu Mar 16 2017,,Utah Jazz,W,,91,83,45,22,W 2,
68,Sat Mar 18 2017,@,Los Angeles Clippers,L,,78,108,45,23,L 1,
69,Sun Mar 19 2017,@,Los Angeles Lakers,W,,125,120,46,23,W 1,
70,Wed Mar 22 2017,@,Denver Nuggets,L,,113,126,46,24,L 1,
71,Fri Mar 24 2017,@,Charlotte Hornets,W,,112,105,47,24,W 1,
72,Sat Mar 25 2017,,Washington Wizards,L,,115,127,47,25,L 1,
73,Mon Mar 27 2017,@,San Antonio Spurs,L,,74,103,47,26,L 2,
74,Thu Mar 30 2017,@,Chicago Bulls,L,,93,99,47,27,L 3,
75,Fri Mar 31 2017,,Philadelphia 76ers,W,,122,105,48,27,W 1,
76,Sun Apr 2 2017,,Indiana Pacers,W,2OT,135,130,49,27,W 2,
77,Tue Apr 4 2017,,Orlando Magic,W,,122,102,50,27,W 3,
78,Wed Apr 5 2017,@,Boston Celtics,W,,114,91,51,27,W 4,
79,Fri Apr 7 2017,,Atlanta Hawks,L,,100,114,51,28,L 1,
80,Sun Apr 9 2017,@,Atlanta Hawks,L,OT,125,126,51,29,L 2,
81,Mon Apr 10 2017,@,Miami Heat,L,OT,121,124,51,30,L 3,
82,Wed Apr 12 2017,,Toronto Raptors,L,,83,98,51,31,L 4,
