G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
51,Sat Feb 4 2017,@,Utah Jazz,L,,98,105,23,28,L 7,
52,Tue Feb 7 2017,,Brooklyn Nets,W,,111,107,24,28,W 1,
53,Thu Feb 9 2017,,Houston Rockets,L,,95,107,24,29,L 1,
54,Sat Feb 11 2017,,Los Angeles Clippers,L,,102,107,24,30,L 2,
55,Mon Feb 13 2017,,Philadelphia 76ers,L,,99,105,24,31,L 3,
56,Wed Feb 15 2017,@,Toronto Raptors,L,,85,90,24,32,L 4,
57,Thu Feb 23 2017,@,Detroit Pistons,L,OT,108,114,24,33,L 5,
58,Sat Feb 25 2017,@,Sacramento Kings,W,,99,85,25,33,W 1,
59,Sun Feb 26 2017,@,Los Angeles Clippers,L,OT,121,124,25,34,L 1,
60,Tue Feb 28 2017,@,Los Angeles Lakers,W,,109,104,26,34,W 1,
61,Thu Mar 2 2017,@,Phoenix Suns,L,,103,120,26,35,L 1,
62,Sat Mar 4 2017,@,Denver Nuggets,W,,112,102,27,35,W 1,
63,Mon Mar 6 2017,,Indiana Pacers,W,,100,88,28,35,W 2,
64,Wed Mar 8 2017,@,Miami Heat,L,,101,108,28,36,L 1,
65,Fri Mar 10 2017,,Orlando Magic,W,,121,81,29,36,W 1,
66,Sat Mar 11 2017,,New Orleans Pelicans,L,OT,122,125,29,37,L 1,
67,Mon Mar 13 2017,,Chicago Bulls,L,,109,115,29,38,L 2,
68,Wed Mar 15 2017,@,Indiana Pacers,L,,77,98,29,39,L 3,
69,Sat Mar 18 2017,,Washington Wizards,W,,98,93,30,39,W 1,
70,Mon Mar 20 2017,,Atlanta Hawks,W,,105,90,31,39,W 2,
71,Wed Mar 22 2017,@,Orlando Magic,W,,109,102,32,39,W 3,
72,Fri Mar 24 2017,,Cleveland Cavaliers,L,,105,112,32,40,L 1,
73,Sun Mar 26 2017,,Phoenix Suns,W,,120,106,33,40,W 1,
74,Tue Mar 28 2017,,Milwaukee Bucks,L,,108,118,33,41,L 1,
75,Wed Mar 29 2017,@,Toronto Raptors,W,,110,106,34,41,W 1,
76,Fri Mar 31 2017,,Denver Nuggets,W,,122,114,35,41,W 2,
77,Sun Apr 2 2017,@,Oklahoma City Thunder,W,,113,101,36,41,W 3,
78,Tue Apr 4 2017,@,Washington Wizards,L,,111,118,36,42,L 1,
79,Wed Apr 5 2017,,Miami Heat,L,,99,112,36,43,L 2,
80,Sat Apr 8 2017,,Boston Celtics,L,,114,121,36,44,L 3,
81,Mon Apr 10 2017,@,Milwaukee Bucks,L,,79,89,36,45,L 4,
82,Tue Apr 11 2017,@,Atlanta Hawks,L,,76,103,36,46,L 5,
