G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
40,Sun Jan 15 2017,,Milwaukee Bucks,W,,111,98,23,17,W 1,
41,Mon Jan 16 2017,@,New York Knicks,W,,108,107,24,17,W 2,
42,Wed Jan 18 2017,@,Detroit Pistons,L,,95,118,24,18,L 1,
43,Fri Jan 20 2017,,Chicago Bulls,W,,102,93,25,18,W 1,
44,Sat Jan 21 2017,,Philadelphia 76ers,W,,110,93,26,18,W 2,
45,Mon Jan 23 2017,,Los Angeles Clippers,L,,105,115,26,19,L 1,
46,Wed Jan 25 2017,@,Chicago Bulls,W,,119,114,27,19,W 1,
47,Fri Jan 27 2017,,Washington Wizards,L,,86,112,27,20,L 1,
48,Sun Jan 29 2017,,New York Knicks,W,4OT,142,139,28,20,W 1,
49,Wed Feb 1 2017,@,Miami Heat,L,,93,116,28,21,L 1,
50,Thu Feb 2 2017,@,Houston Rockets,W,,113,108,29,21,W 1,
51,Sat Feb 4 2017,,Orlando Magic,W,,113,86,30,21,W 2,
52,Mon Feb 6 2017,,Utah Jazz,L,,95,120,30,22,L 1,
53,Wed Feb 8 2017,,Denver Nuggets,W,,117,106,31,22,W 1,
54,Fri Feb 10 2017,@,Sacramento Kings,L,,107,108,31,23,L 1,
55,Mon Feb 13 2017,@,Portland Trail Blazers,W,OT,109,104,32,23,W 1,
56,Wed Feb 15 2017,@,Los Angeles Clippers,L,,84,99,32,24,L 1,
57,Fri Feb 24 2017,,Miami Heat,L,,90,108,32,25,L 2,
58,Sat Feb 25 2017,@,Orlando Magic,L,,86,105,32,26,L 3,
59,Mon Feb 27 2017,@,Boston Celtics,W,,114,98,33,26,W 1,
60,Wed Mar 1 2017,,Dallas Mavericks,W,,100,95,34,26,W 2,
61,Fri Mar 3 2017,,Cleveland Cavaliers,L,,130,135,34,27,L 1,
62,Sun Mar 5 2017,,Indiana Pacers,L,,96,97,34,28,L 2,
63,Mon Mar 6 2017,,Golden State Warriors,L,,111,119,34,29,L 3,
64,Wed Mar 8 2017,,Brooklyn Nets,W,,110,105,35,29,W 1,
65,Fri Mar 10 2017,,Toronto Raptors,W,,105,99,36,29,W 2,
66,Sat Mar 11 2017,@,Memphis Grizzlies,W,,107,90,37,29,W 3,
67,Mon Mar 13 2017,@,San Antonio Spurs,L,,99,107,37,30,L 1,
68,Thu Mar 16 2017,,Memphis Grizzlies,L,,91,103,37,31,L 2,
69,Sat Mar 18 2017,,Portland Trail Blazers,L,,97,113,37,32,L 3,
70,Mon Mar 20 2017,@,Charlotte Hornets,L,,90,105,37,33,L 4,
71,Wed Mar 22 2017,@,Washington Wizards,L,,100,104,37,34,L 5,
72,Fri Mar 24 2017,@,Milwaukee Bucks,L,,97,100,37,35,L 6,
73,Sun Mar 26 2017,,Brooklyn Nets,L,,92,107,37,36,L 7,
74,Tue Mar 28 2017,,Phoenix Suns,W,,95,91,38,36,W 1,
75,Wed Mar 29 2017,@,Philadelphia 76ers,W,,99,92,39,36,W 2,
76,Sat Apr 1 2017,@,Chicago Bulls,L,,104,106,39,37,L 1,
77,Sun Apr 2 2017,@,Brooklyn Nets,L,,82,91,39,38,L 2,
78,Thu Apr 6 2017,,Boston Celtics,W,,123,116,40,38,W 1,
79,Fri Apr 7 2017,@,Cleveland Cavaliers,W,,114,100,41,38,W 2,
80,Sun Apr 9 2017,,Cleveland Cavaliers,W,OT,126,125,42,38,W 3,
81,Tue Apr 11 2017,,Charlotte Hornets,W,,103,76,43,38,W 4,
82,Wed Apr 12 2017,@,Indiana Pacers,L,,86,104,43,39,L 1,
