G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
31,Fri Dec 23 2016,@,New Orleans Pelicans,L,,87,91,10,21,L 1,
32,Tue Dec 27 2016,,Oklahoma City Thunder,L,,94,106,10,22,L 2,
33,Thu Dec 29 2016,@,Charlotte Hornets,L,,82,91,10,23,L 3,
34,Fri Dec 30 2016,@,Boston Celtics,L,,114,117,10,24,L 4,
35,Sun Jan 1 2017,,Detroit Pistons,L,,98,107,10,25,L 5,
36,Tue Jan 3 2017,@,Phoenix Suns,L,,90,99,10,26,L 6,
37,Wed Jan 4 2017,@,Sacramento Kings,W,,107,102,11,26,W 1,
38,Fri Jan 6 2017,@,Los Angeles Lakers,L,,100,127,11,27,L 1,
39,Sun Jan 8 2017,@,Los Angeles Clippers,L,,86,98,11,28,L 2,
40,Tue Jan 10 2017,@,Golden State Warriors,L,,95,107,11,29,L 3,
41,Fri Jan 13 2017,@,Milwaukee Bucks,L,,108,116,11,30,L 4,
42,Tue Jan 17 2017,,Houston Rockets,W,,109,103,12,30,W 1,
43,Thu Jan 19 2017,,Dallas Mavericks,W,,99,95,13,30,W 2,
44,Sat Jan 21 2017,,Milwaukee Bucks,W,,109,97,14,30,W 3,
45,Mon Jan 23 2017,,Golden State Warriors,W,,105,102,15,30,W 4,
46,Wed Jan 25 2017,@,Brooklyn Nets,W,,109,106,16,30,W 5,
47,Fri Jan 27 2017,@,Chicago Bulls,W,,100,88,17,30,W 6,
48,Sat Jan 28 2017,,Detroit Pistons,W,,116,103,18,30,W 7,
49,Mon Jan 30 2017,,Brooklyn Nets,W,,104,96,19,30,W 8,
50,Wed Feb 1 2017,,Atlanta Hawks,W,,116,93,20,30,W 9,
51,Sat Feb 4 2017,,Philadelphia 76ers,W,,125,102,21,30,W 10,
52,Mon Feb 6 2017,@,Minnesota Timberwolves,W,,115,113,22,30,W 11,
53,Wed Feb 8 2017,@,Milwaukee Bucks,W,,106,88,23,30,W 12,
54,Fri Feb 10 2017,@,Brooklyn Nets,W,,108,99,24,30,W 13,
55,Sat Feb 11 2017,@,Philadelphia 76ers,L,,109,117,24,31,L 1,
56,Mon Feb 13 2017,,Orlando Magic,L,,107,116,24,32,L 2,
