"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"54","Boston Celtics",54,"Sat Feb 11 2017","@","Utah Jazz","W",NA,112,104,35,19,"W 2",NA
"55","Boston Celtics",55,"Mon Feb 13 2017","@","Dallas Mavericks","W",NA,111,98,36,19,"W 3",NA
"56","Boston Celtics",56,"Wed Feb 15 2017",NA,"Philadelphia 76ers","W",NA,116,108,37,19,"W 4",NA
"57","Boston Celtics",57,"Thu Feb 16 2017","@","Chicago Bulls","L",NA,103,104,37,20,"L 1",NA
"58","Boston Celtics",58,"Fri Feb 24 2017","@","Toronto Raptors","L",NA,97,107,37,21,"L 2",NA
"59","Boston Celtics",59,"Sun Feb 26 2017","@","Detroit Pistons","W",NA,104,98,38,21,"W 1",NA
"60","Boston Celtics",60,"Mon Feb 27 2017",NA,"Atlanta Hawks","L",NA,98,114,38,22,"L 1",NA
"61","Boston Celtics",61,"Wed Mar 1 2017",NA,"Cleveland Cavaliers","W",NA,103,99,39,22,"W 1",NA
"62","Boston Celtics",62,"Fri Mar 3 2017","@","Los Angeles Lakers","W",NA,115,95,40,22,"W 2",NA
"63","Boston Celtics",63,"Sun Mar 5 2017","@","Phoenix Suns","L",NA,106,109,40,23,"L 1",NA
"64","Boston Celtics",64,"Mon Mar 6 2017","@","Los Angeles Clippers","L",NA,102,116,40,24,"L 2",NA
"65","Boston Celtics",65,"Wed Mar 8 2017","@","Golden State Warriors","W",NA,99,86,41,24,"W 1",NA
"66","Boston Celtics",66,"Fri Mar 10 2017","@","Denver Nuggets","L",NA,99,119,41,25,"L 1",NA
"67","Boston Celtics",67,"Sun Mar 12 2017",NA,"Chicago Bulls","W",NA,100,80,42,25,"W 1",NA
"68","Boston Celtics",68,"Wed Mar 15 2017",NA,"Minnesota Timberwolves","W",NA,117,104,43,25,"W 2",NA
"69","Boston Celtics",69,"Fri Mar 17 2017","@","Brooklyn Nets","W",NA,98,95,44,25,"W 3",NA
"70","Boston Celtics",70,"Sun Mar 19 2017","@","Philadelphia 76ers","L",NA,99,105,44,26,"L 1",NA
"71","Boston Celtics",71,"Mon Mar 20 2017",NA,"Washington Wizards","W",NA,110,102,45,26,"W 1",NA
"72","Boston Celtics",72,"Wed Mar 22 2017",NA,"Indiana Pacers","W",NA,109,100,46,26,"W 2",NA
"73","Boston Celtics",73,"Fri Mar 24 2017",NA,"Phoenix Suns","W",NA,130,120,47,26,"W 3",NA
"74","Boston Celtics",74,"Sun Mar 26 2017",NA,"Miami Heat","W",NA,112,108,48,26,"W 4",NA
"75","Boston Celtics",75,"Wed Mar 29 2017",NA,"Milwaukee Bucks","L",NA,100,103,48,27,"L 1",NA
"76","Boston Celtics",76,"Fri Mar 31 2017",NA,"Orlando Magic","W",NA,117,116,49,27,"W 1",NA
"77","Boston Celtics",77,"Sun Apr 2 2017","@","New York Knicks","W",NA,110,94,50,27,"W 2",NA
"78","Boston Celtics",78,"Wed Apr 5 2017",NA,"Cleveland Cavaliers","L",NA,91,114,50,28,"L 1",NA
"79","Boston Celtics",79,"Thu Apr 6 2017","@","Atlanta Hawks","L",NA,116,123,50,29,"L 2",NA
"80","Boston Celtics",80,"Sat Apr 8 2017","@","Charlotte Hornets","W",NA,121,114,51,29,"W 1",NA
"81","Boston Celtics",81,"Mon Apr 10 2017",NA,"Brooklyn Nets","W",NA,114,105,52,29,"W 2",NA
"82","Boston Celtics",82,"Wed Apr 12 2017",NA,"Milwaukee Bucks","W",NA,112,94,53,29,"W 3",NA
"83","Cleveland Cavaliers",1,"Tue Oct 25 2016",NA,"New York Knicks","W",NA,117,88,1,0,"W 1",NA
"84","Cleveland Cavaliers",2,"Fri Oct 28 2016","@","Toronto Raptors","W",NA,94,91,2,0,"W 2",NA
"85","Cleveland Cavaliers",3,"Sat Oct 29 2016",NA,"Orlando Magic","W",NA,105,99,3,0,"W 3",NA
"86","Cleveland Cavaliers",4,"Tue Nov 1 2016",NA,"Houston Rockets","W",NA,128,120,4,0,"W 4",NA
"87","Cleveland Cavaliers",5,"Thu Nov 3 2016",NA,"Boston Celtics","W",NA,128,122,5,0,"W 5",NA
"88","Cleveland Cavaliers",6,"Sat Nov 5 2016","@","Philadelphia 76ers","W",NA,102,101,6,0,"W 6",NA
"89","Cleveland Cavaliers",7,"Tue Nov 8 2016",NA,"Atlanta Hawks","L",NA,106,110,6,1,"L 1",NA
"90","Cleveland Cavaliers",8,"Fri Nov 11 2016","@","Washington Wizards","W",NA,105,94,7,1,"W 1",NA
"91","Cleveland Cavaliers",9,"Sun Nov 13 2016",NA,"Charlotte Hornets","W",NA,100,93,8,1,"W 2",NA
"92","Cleveland Cavaliers",10,"Tue Nov 15 2016",NA,"Toronto Raptors","W",NA,121,117,9,1,"W 3",NA
"93","Cleveland Cavaliers",11,"Wed Nov 16 2016","@","Indiana Pacers","L",NA,93,103,9,2,"L 1",NA
"94","Cleveland Cavaliers",12,"Fri Nov 18 2016",NA,"Detroit Pistons","W",NA,104,81,10,2,"W 1",NA
"95","Cleveland Cavaliers",13,"Wed Nov 23 2016",NA,"Portland Trail Blazers","W",NA,137,125,11,2,"W 2",NA
"96","Cleveland Cavaliers",14,"Fri Nov 25 2016",NA,"Dallas Mavericks","W",NA,128,90,12,2,"W 3",NA
"97","Cleveland Cavaliers",15,"Sun Nov 27 2016","@","Philadelphia 76ers","W",NA,112,108,13,2,"W 4",NA
"98","Cleveland Cavaliers",16,"Tue Nov 29 2016","@","Milwaukee Bucks","L",NA,101,118,13,3,"L 1",NA
"99","Cleveland Cavaliers",17,"Thu Dec 1 2016",NA,"Los Angeles Clippers","L",NA,94,113,13,4,"L 2",NA
"100","Cleveland Cavaliers",18,"Fri Dec 2 2016","@","Chicago Bulls","L",NA,105,111,13,5,"L 3",NA
"101","Cleveland Cavaliers",19,"Mon Dec 5 2016","@","Toronto Raptors","W",NA,116,112,14,5,"W 1",NA
"102","Cleveland Cavaliers",20,"Wed Dec 7 2016","@","New York Knicks","W",NA,126,94,15,5,"W 2",NA
"103","Cleveland Cavaliers",21,"Fri Dec 9 2016",NA,"Miami Heat","W",NA,114,84,16,5,"W 3",NA
"104","Cleveland Cavaliers",22,"Sat Dec 10 2016",NA,"Charlotte Hornets","W",NA,116,105,17,5,"W 4",NA
"105","Cleveland Cavaliers",23,"Tue Dec 13 2016",NA,"Memphis Grizzlies","W",NA,103,86,18,5,"W 5",NA
"106","Cleveland Cavaliers",24,"Wed Dec 14 2016","@","Memphis Grizzlies","L",NA,85,93,18,6,"L 1",NA
"107","Cleveland Cavaliers",25,"Sat Dec 17 2016",NA,"Los Angeles Lakers","W",NA,119,108,19,6,"W 1",NA
"108","Cleveland Cavaliers",26,"Tue Dec 20 2016","@","Milwaukee Bucks","W","OT",114,108,20,6,"W 2",NA
"109","Cleveland Cavaliers",27,"Wed Dec 21 2016",NA,"Milwaukee Bucks","W",NA,113,102,21,6,"W 3",NA
"110","Cleveland Cavaliers",28,"Fri Dec 23 2016",NA,"Brooklyn Nets","W",NA,119,99,22,6,"W 4",NA
"111","Cleveland Cavaliers",29,"Sun Dec 25 2016",NA,"Golden State Warriors","W",NA,109,108,23,6,"W 5",NA
"112","Cleveland Cavaliers",30,"Mon Dec 26 2016","@","Detroit Pistons","L",NA,90,106,23,7,"L 1",NA
"113","Cleveland Cavaliers",31,"Thu Dec 29 2016",NA,"Boston Celtics","W",NA,124,118,24,7,"W 1",NA
"114","Cleveland Cavaliers",32,"Sat Dec 31 2016","@","Charlotte Hornets","W",NA,121,109,25,7,"W 2",NA
"115","Cleveland Cavaliers",33,"Mon Jan 2 2017",NA,"New Orleans Pelicans","W",NA,90,82,26,7,"W 3",NA
"116","Cleveland Cavaliers",34,"Wed Jan 4 2017",NA,"Chicago Bulls","L",NA,94,106,26,8,"L 1",NA
"117","Cleveland Cavaliers",35,"Fri Jan 6 2017","@","Brooklyn Nets","W",NA,116,108,27,8,"W 1",NA
"118","Cleveland Cavaliers",36,"Sun Jan 8 2017","@","Phoenix Suns","W",NA,120,116,28,8,"W 2",NA
"119","Cleveland Cavaliers",37,"Tue Jan 10 2017","@","Utah Jazz","L",NA,92,100,28,9,"L 1",NA
"120","Cleveland Cavaliers",38,"Wed Jan 11 2017","@","Portland Trail Blazers","L",NA,86,102,28,10,"L 2",NA
"121","Cleveland Cavaliers",39,"Fri Jan 13 2017","@","Sacramento Kings","W",NA,120,108,29,10,"W 1",NA
"122","Cleveland Cavaliers",40,"Mon Jan 16 2017","@","Golden State Warriors","L",NA,91,126,29,11,"L 1",NA
"123","Cleveland Cavaliers",41,"Thu Jan 19 2017",NA,"Phoenix Suns","W",NA,118,103,30,11,"W 1",NA
"124","Cleveland Cavaliers",42,"Sat Jan 21 2017",NA,"San Antonio Spurs","L","OT",115,118,30,12,"L 1",NA
"125","Cleveland Cavaliers",43,"Mon Jan 23 2017","@","New Orleans Pelicans","L",NA,122,124,30,13,"L 2",NA
"126","Cleveland Cavaliers",44,"Wed Jan 25 2017",NA,"Sacramento Kings","L","OT",112,116,30,14,"L 3",NA
"127","Cleveland Cavaliers",45,"Fri Jan 27 2017",NA,"Brooklyn Nets","W",NA,124,116,31,14,"W 1",NA
"128","Cleveland Cavaliers",46,"Sun Jan 29 2017",NA,"Oklahoma City Thunder","W",NA,107,91,32,14,"W 2",NA
"129","Cleveland Cavaliers",47,"Mon Jan 30 2017","@","Dallas Mavericks","L",NA,97,104,32,15,"L 1",NA
"130","Cleveland Cavaliers",48,"Wed Feb 1 2017",NA,"Minnesota Timberwolves","W",NA,125,97,33,15,"W 1",NA
"131","Cleveland Cavaliers",49,"Sat Feb 4 2017","@","New York Knicks","W",NA,111,104,34,15,"W 2",NA
"132","Cleveland Cavaliers",50,"Mon Feb 6 2017","@","Washington Wizards","W","OT",140,135,35,15,"W 3",NA
"133","Cleveland Cavaliers",51,"Wed Feb 8 2017","@","Indiana Pacers","W",NA,132,117,36,15,"W 4",NA
"134","Cleveland Cavaliers",52,"Thu Feb 9 2017","@","Oklahoma City Thunder","L",NA,109,118,36,16,"L 1",NA
"135","Cleveland Cavaliers",53,"Sat Feb 11 2017",NA,"Denver Nuggets","W",NA,125,109,37,16,"W 1",NA
"136","Cleveland Cavaliers",54,"Tue Feb 14 2017","@","Minnesota Timberwolves","W",NA,116,108,38,16,"W 2",NA
"137","Cleveland Cavaliers",55,"Wed Feb 15 2017",NA,"Indiana Pacers","W",NA,113,104,39,16,"W 3",NA
"138","Cleveland Cavaliers",56,"Thu Feb 23 2017",NA,"New York Knicks","W",NA,119,104,40,16,"W 4",NA
"139","Cleveland Cavaliers",57,"Sat Feb 25 2017",NA,"Chicago Bulls","L",NA,99,117,40,17,"L 1",NA
"140","Cleveland Cavaliers",58,"Mon Feb 27 2017",NA,"Milwaukee Bucks","W",NA,102,95,41,17,"W 1",NA
"141","Cleveland Cavaliers",59,"Wed Mar 1 2017","@","Boston Celtics","L",NA,99,103,41,18,"L 1",NA
"142","Cleveland Cavaliers",60,"Fri Mar 3 2017","@","Atlanta Hawks","W",NA,135,130,42,18,"W 1",NA
"143","Cleveland Cavaliers",61,"Sat Mar 4 2017","@","Miami Heat","L",NA,92,120,42,19,"L 1",NA
"144","Cleveland Cavaliers",62,"Mon Mar 6 2017",NA,"Miami Heat","L",NA,98,106,42,20,"L 2",NA
