,Player,G,Date,Tm,Location,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
49,LeBron,49,09/02/2017,CLE,@,OKC,L (-9),1,40,8,19,0.421,1,4,0.25,1,3,0.333,1,4,5,7,2,2,3,1,18,13.9,-4
50,LeBron,50,11/02/2017,CLE,NA,DEN,W (+16),1,33,11,16,0.688,1,1,1,4,4,1,0,5,5,12,2,0,6,1,27,25.7,26
51,LeBron,51,14/02/2017,CLE,@,MIN,W (+8),1,39,10,14,0.714,2,3,0.667,3,6,0.5,1,7,8,14,0,0,6,3,25,23.4,10
52,LeBron,52,15/02/2017,CLE,NA,IND,W (+9),1,32,12,17,0.706,4,5,0.8,3,4,0.75,0,5,5,4,1,0,4,2,31,24,9
53,LeBron,53,23/02/2017,CLE,NA,NYK,W (+15),1,37,7,11,0.636,0,2,0,4,6,0.667,0,13,13,15,0,3,6,1,18,22.4,10
54,LeBron,54,27/02/2017,CLE,NA,MIL,W (+7),1,37,8,12,0.667,1,2,0.5,7,9,0.778,0,10,10,6,0,0,3,1,24,21.8,8
55,LeBron,55,01/03/2017,CLE,@,BOS,L (-4),1,40,10,21,0.476,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,3,28,25.5,-3
56,LeBron,56,03/03/2017,CLE,@,ATL,W (+5),1,39,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,4,38,29.4,5
57,LeBron,57,06/03/2017,CLE,NA,MIA,L (-8),1,38,11,22,0.5,2,5,0.4,6,10,0.6,3,14,17,6,1,1,3,2,30,25.8,14
58,LeBron,58,09/03/2017,CLE,@,DET,L (-5),1,39,12,22,0.545,0,6,0,5,8,0.625,4,10,14,10,1,0,3,1,29,27.6,18
59,LeBron,59,11/03/2017,CLE,@,ORL,W (+12),1,37,8,14,0.571,2,5,0.4,6,10,0.6,0,12,12,12,0,1,4,3,24,23.3,12
60,LeBron,60,12/03/2017,CLE,@,HOU,L (-5),1,40,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,2,30,19.2,-9
61,LeBron,61,14/03/2017,CLE,NA,DET,W (+32),1,28,6,12,0.5,0,2,0,4,5,0.8,0,11,11,12,0,0,2,0,16,19.3,22
62,LeBron,62,16/03/2017,CLE,NA,UTA,W (+8),1,38,13,20,0.65,2,5,0.4,5,10,0.5,0,10,10,6,2,1,6,0,33,26.1,14
63,LeBron,63,19/03/2017,CLE,@,LAL,W (+5),1,37,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,2,34,26.5,12
