Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
58,58,2017-02-27,@,CLE,L,95,102,37,83,.446,11,30,.367,10,16,.625,5,33,27,3,5,8,23
59,59,2017-03-01,,DEN,L,98,110,38,83,.458,9,18,.500,13,15,.867,10,34,26,8,5,13,19
60,60,2017-03-03,,LAC,W,112,101,44,80,.550,10,25,.400,14,15,.933,3,25,35,11,4,10,27
61,61,2017-03-04,,TOR,W,101,94,38,87,.437,6,27,.222,19,23,.826,9,42,16,3,4,6,18
62,62,2017-03-06,@,PHI,W,112,98,41,83,.494,14,33,.424,16,20,.800,9,41,28,7,7,12,16
63,63,2017-03-08,,NYK,W,104,93,37,86,.430,8,26,.308,22,28,.786,12,46,26,9,4,8,13
64,64,2017-03-10,,IND,W,99,85,33,64,.516,7,17,.412,26,30,.867,5,34,17,13,6,20,21
65,65,2017-03-11,,MIN,W,102,95,37,80,.463,8,20,.400,20,23,.870,11,40,19,5,6,9,23
66,66,2017-03-13,@,MEM,L,93,113,31,67,.463,14,26,.538,17,20,.850,8,32,21,6,5,16,21
67,67,2017-03-15,@,LAC,W,97,96,34,76,.447,10,29,.345,19,25,.760,4,36,22,8,2,11,25
68,68,2017-03-17,@,LAL,W,107,103,40,82,.488,4,24,.167,23,30,.767,10,43,22,7,9,14,25
69,69,2017-03-18,@,GSW,L,92,117,36,89,.404,9,27,.333,11,14,.786,12,35,19,8,7,11,17
70,70,2017-03-21,@,POR,W,93,90,38,90,.422,7,16,.438,10,12,.833,13,49,16,8,8,13,22
71,71,2017-03-22,@,SAC,W,116,98,43,81,.531,16,35,.457,14,19,.737,7,38,28,9,4,10,11
72,72,2017-03-24,,ATL,W,100,97,39,88,.443,8,27,.296,14,16,.875,9,35,27,10,6,8,23
73,73,2017-03-26,,CHI,L,94,109,37,84,.440,7,23,.304,13,17,.765,9,34,20,8,0,9,9
74,74,2017-03-28,@,CHO,W,118,108,46,74,.622,14,30,.467,12,17,.706,3,42,31,1,3,14,26
75,75,2017-03-29,@,BOS,W,103,100,41,78,.526,8,22,.364,13,17,.765,7,35,27,9,8,14,21
76,76,2017-03-31,,DET,W,108,105,35,84,.417,14,36,.389,24,34,.706,9,48,25,6,3,12,18
77,77,2017-04-02,,DAL,L,105,109,39,77,.506,12,34,.353,15,18,.833,4,33,25,9,3,13,20
78,78,2017-04-04,@,OKC,L,79,110,29,81,.358,3,18,.167,18,26,.692,10,38,16,9,5,11,19
79,79,2017-04-06,@,IND,L,89,104,33,71,.465,11,24,.458,12,14,.857,6,32,21,8,4,21,22
80,80,2017-04-08,@,PHI,W,90,82,35,79,.443,6,27,.222,14,20,.700,6,43,18,10,4,15,21
81,81,2017-04-10,,CHO,W,89,79,35,78,.449,16,27,.593,3,5,.600,8,46,28,4,3,16,14
82,82,2017-04-12,@,BOS,L,94,112,37,84,.440,6,23,.261,14,17,.824,9,43,26,6,9,17,20
