Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
58,58,2017-02-24,,MEM,W,102,92,40,78,.513,11,26,.423,11,11,1.000,8,50,23,8,7,16,19
59,59,2017-02-25,@,MIA,L,95,113,34,85,.400,4,12,.333,23,26,.885,13,43,21,8,4,15,24
60,60,2017-02-27,@,HOU,W,117,108,41,91,.451,13,30,.433,22,25,.880,13,55,29,7,5,15,26
61,61,2017-03-01,@,SAS,L,99,100,37,81,.457,7,23,.304,18,25,.720,13,41,22,13,1,17,26
62,62,2017-03-05,@,ATL,W,97,96,35,78,.449,15,33,.455,12,21,.571,9,44,24,6,4,15,22
63,63,2017-03-06,@,CHO,L,88,100,37,81,.457,12,30,.400,2,3,.667,6,41,29,3,5,15,17
64,64,2017-03-08,,DET,W,115,98,44,88,.500,11,23,.478,16,19,.842,9,46,27,3,2,5,18
65,65,2017-03-10,@,MIL,L,85,99,33,75,.440,2,18,.111,17,22,.773,8,36,15,14,3,18,24
66,66,2017-03-12,,MIA,W,102,98,35,82,.427,5,15,.333,27,32,.844,11,46,12,2,4,9,15
67,67,2017-03-14,@,NYK,L,81,87,32,87,.368,8,29,.276,9,15,.600,14,53,16,6,3,16,14
68,68,2017-03-15,,CHO,W,98,77,39,73,.534,12,28,.429,8,9,.889,3,42,26,8,6,14,15
69,69,2017-03-19,@,TOR,L,91,116,33,80,.413,6,23,.261,19,26,.731,9,33,22,7,2,13,23
70,70,2017-03-20,,UTA,W,107,100,38,87,.437,10,20,.500,21,23,.913,10,43,21,9,9,7,19
71,71,2017-03-22,@,BOS,L,100,109,38,87,.437,11,28,.393,13,19,.684,18,45,20,13,6,13,19
72,72,2017-03-24,,DEN,L,117,125,48,95,.505,13,24,.542,8,11,.727,11,39,19,9,8,12,29
73,73,2017-03-26,,PHI,W,107,94,38,89,.427,7,17,.412,24,29,.828,12,51,16,9,4,9,13
74,74,2017-03-28,,MIN,L,114,115,40,81,.494,5,18,.278,29,35,.829,11,37,25,8,5,14,22
75,75,2017-03-29,@,MEM,L,97,110,37,85,.435,10,25,.400,13,15,.867,12,43,19,5,7,12,18
76,76,2017-03-31,@,TOR,L,100,111,36,87,.414,11,26,.423,17,21,.810,12,42,19,7,4,13,21
77,77,2017-04-02,@,CLE,L,130,135,48,105,.457,16,41,.390,18,20,.900,12,46,32,6,3,9,24
78,78,2017-04-04,,TOR,W,108,90,39,89,.438,12,25,.480,18,18,1.000,10,43,16,7,4,11,17
79,79,2017-04-06,,MIL,W,104,89,38,80,.475,8,25,.320,20,26,.769,12,44,20,15,3,16,12
80,80,2017-04-08,@,ORL,W,127,112,51,86,.593,11,22,.500,14,19,.737,6,45,35,6,4,15,15
81,81,2017-04-10,@,PHI,W,120,111,49,85,.576,5,16,.313,17,21,.810,14,44,30,9,5,14,23
82,82,2017-04-12,,ATL,W,104,86,39,82,.476,10,24,.417,16,19,.842,8,41,21,5,7,10,14
