G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
36,Fri Jan 6 2017,@,Washington Wizards,L,,105,112,11,25,L 3,
37,Sat Jan 7 2017,,Utah Jazz,L,,92,94,11,26,L 4,
38,Mon Jan 9 2017,,Dallas Mavericks,W,,101,92,12,26,W 1,
39,Wed Jan 11 2017,,Houston Rockets,W,,119,105,13,26,W 2,
40,Fri Jan 13 2017,,Oklahoma City Thunder,W,,96,86,14,26,W 3,
41,Sun Jan 15 2017,@,Dallas Mavericks,L,,87,98,14,27,L 1,
42,Tue Jan 17 2017,@,San Antonio Spurs,L,,114,122,14,28,L 2,
43,Thu Jan 19 2017,@,Los Angeles Clippers,W,,104,101,15,28,W 1,
44,Sun Jan 22 2017,,Denver Nuggets,W,,111,108,16,28,W 2,
45,Tue Jan 24 2017,@,Phoenix Suns,W,,112,111,17,28,W 3,
46,Thu Jan 26 2017,,Indiana Pacers,L,,103,109,17,29,L 1,
47,Sat Jan 28 2017,,Brooklyn Nets,W,,129,109,18,29,W 1,
48,Mon Jan 30 2017,,Orlando Magic,W,OT,111,105,19,29,W 2,
49,Wed Feb 1 2017,@,Cleveland Cavaliers,L,,97,125,19,30,L 1,
50,Fri Feb 3 2017,@,Detroit Pistons,L,,108,116,19,31,L 2,
51,Sat Feb 4 2017,,Memphis Grizzlies,L,,99,107,19,32,L 3,
52,Mon Feb 6 2017,,Miami Heat,L,,113,115,19,33,L 4,
53,Wed Feb 8 2017,,Toronto Raptors,W,,112,109,20,33,W 1,
54,Fri Feb 10 2017,,New Orleans Pelicans,L,,106,122,20,34,L 1,
55,Sun Feb 12 2017,,Chicago Bulls,W,,117,89,21,34,W 1,
56,Tue Feb 14 2017,,Cleveland Cavaliers,L,,108,116,21,35,L 1,
57,Wed Feb 15 2017,@,Denver Nuggets,W,,112,99,22,35,W 1,
58,Fri Feb 24 2017,,Dallas Mavericks,W,,97,84,23,35,W 2,
59,Sat Feb 25 2017,@,Houston Rockets,L,,130,142,23,36,L 1,
60,Mon Feb 27 2017,@,Sacramento Kings,W,,102,88,24,36,W 1,
61,Wed Mar 1 2017,@,Utah Jazz,W,,107,80,25,36,W 2,
62,Sat Mar 4 2017,@,San Antonio Spurs,L,OT,90,97,25,37,L 1,
63,Wed Mar 8 2017,,Los Angeles Clippers,W,,107,91,26,37,W 1,
64,Fri Mar 10 2017,,Golden State Warriors,W,,103,102,27,37,W 2,
65,Sat Mar 11 2017,@,Milwaukee Bucks,L,,95,102,27,38,L 1,
