Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
62,62,2017-03-01,@,LAC,W,122,103,37,87,.425,20,52,.385,28,33,.848,19,62,21,3,2,16,17
63,63,2017-03-04,,MEM,W,123,108,39,78,.500,18,42,.429,27,36,.750,10,43,25,10,4,14,20
64,64,2017-03-06,@,SAS,L,110,112,41,88,.466,14,39,.359,14,17,.824,7,43,19,3,3,12,20
65,65,2017-03-08,,UTA,L,108,115,35,79,.443,8,32,.250,30,40,.750,10,31,22,9,4,8,20
66,66,2017-03-10,@,CHI,W,115,94,37,89,.416,15,47,.319,26,32,.813,11,54,26,11,4,17,15
67,67,2017-03-12,,CLE,W,117,112,41,96,.427,16,45,.356,19,28,.679,20,52,25,10,4,6,17
68,68,2017-03-15,,LAL,W,139,100,50,91,.549,18,43,.419,21,32,.656,13,50,37,13,4,19,21
69,69,2017-03-17,@,NOP,L,112,128,37,91,.407,13,40,.325,25,32,.781,10,46,18,6,3,12,19
70,70,2017-03-18,@,DEN,W,109,105,38,83,.458,5,24,.208,28,35,.800,10,48,20,5,5,14,24
71,71,2017-03-20,,DEN,W,125,124,45,89,.506,17,38,.447,18,23,.783,6,35,27,12,2,12,22
72,72,2017-03-24,,NOP,W,117,107,44,93,.473,14,39,.359,15,20,.750,15,59,29,5,3,18,19
73,73,2017-03-26,,OKC,W,137,125,50,79,.633,20,39,.513,17,21,.810,2,36,32,8,4,19,23
74,74,2017-03-28,,GSW,L,106,113,33,85,.388,5,31,.161,35,39,.897,10,38,20,9,2,14,14
75,75,2017-03-30,@,POR,L,107,117,40,91,.440,8,34,.235,19,23,.826,13,42,18,9,3,18,20
76,76,2017-03-31,@,GSW,L,98,107,34,91,.374,12,37,.324,18,23,.783,18,48,20,6,3,13,12
77,77,2017-04-02,@,PHO,W,123,116,47,100,.470,14,38,.368,15,23,.652,13,46,23,8,4,15,23
78,78,2017-04-05,,DEN,W,110,104,37,87,.425,10,34,.294,26,38,.684,11,56,19,7,3,16,20
79,79,2017-04-07,,DET,L,109,114,36,87,.414,16,51,.314,21,28,.750,9,49,25,3,6,11,15
80,80,2017-04-09,@,SAC,W,135,128,45,80,.563,18,43,.419,27,31,.871,5,41,26,3,2,16,22
81,81,2017-04-10,@,LAC,L,96,125,33,84,.393,9,40,.225,21,27,.778,9,41,23,5,3,15,23
82,82,2017-04-12,,MIN,W,123,118,45,97,.464,19,56,.339,14,22,.636,16,47,37,11,7,10,14
